Name,Description,Sponsor,TotalDiscountAccumulated,IsTest,State,StartDate,Prize,Num_free_lives,PuzzlesGID,LocationsGID,CharactersGID,GSheet,ClueGoogleKey,LocationsGoogleKey,CharactersGoogleKey
Hunt1,SectorTest,Sector,100,TRUE,WI,11/19/2016,$0,3,1806827157,1825322207,1871536543,1yX71ofqc5lwlHFX9ED--NR0DpHRl1jFVvsdzp2ROkI0,1yX71ofqc5lwlHFX9ED--NR0DpHRl1jFVvsdzp2ROkI0,1yX71ofqc5lwlHFX9ED--NR0DpHRl1jFVvsdzp2ROkI0,1yX71ofqc5lwlHFX9ED--NR0DpHRl1jFVvsdzp2ROkI0
Hunt2,MVP,,20,TRUE,WI,12/1/2016,$1,3,0,1992169427,1992169427,1xLobCQiDkHCIBUPvZGPa-Gvkc77K-kYliGKnihNscwY,1xLobCQiDkHCIBUPvZGPa-Gvkc77K-kYliGKnihNscwY,1xLobCQiDkHCIBUPvZGPa-Gvkc77K-kYliGKnihNscwY,1xLobCQiDkHCIBUPvZGPa-Gvkc77K-kYliGKnihNscwY
Hunt3,Not setup yet..,,,,,,,,,,,,,,
